datetime,Predicted_Usage_kW
2017-06-29 07:00:00,1.7899480734825133
2017-06-29 08:00:00,1.794342866384983
2017-06-29 09:00:00,1.798770066988468
2017-06-29 10:00:00,1.803230909872055
2017-06-29 11:00:00,1.8077260123252867
2017-06-29 12:00:00,1.8122563002824783
2017-06-29 13:00:00,1.8168226996779442
2017-06-29 14:00:00,1.8214261364459992
2017-06-29 15:00:00,1.8260678451657295
2017-06-29 16:00:00,1.8307484431266785
2017-06-29 17:00:00,1.8354691649079322
2017-06-29 18:00:00,1.8402312450885772
2017-06-29 19:00:00,1.8450353009581566
2017-06-29 20:00:00,1.8498825670957564
2017-06-29 21:00:00,1.8547742780804632
2017-06-29 22:00:00,1.8597116684913635
2017-06-29 23:00:00,1.8646956642627714
2017-06-30 00:00:00,1.8697274999737739
2017-06-30 01:00:00,1.8748084102034568
